Cause	Outcome	Cause name	Outcome name	Number of mentions	Phi correlation coeff	Dependence	Date of diagnosis	GPT4	score
I25.1	I20	coronary atherosclerosis	angina pectoris	4	0.581	1	0.8677585066883678	1	0.8897517013376737
I25.1	I21	coronary atherosclerosis	myocardial infarction	7	0.495	1	0.9008331971900017	1	0.8791666394380004
I25.1	I51.9	coronary atherosclerosis	heart disease	6	0.097	1	0.9230046948356807	1	0.8040009389671361
I25.1	I42	coronary atherosclerosis	cardiomyopathy	1	0.061	1	0.8477546549835706	1	0.5826181818181819
I25.1	I49.01	coronary atherosclerosis	ventricular fibrillation	1	NA	0	0	1	0.2
I21	I46	myocardial infarction	cardiac arrest	43	0.119	1	0.9545454545454546	1	0.8147090909090908
I21	I47.2	myocardial infarction	ventricular tachycardia	9	0.092	1	0.9157733537519143	1	0.8015546707503829
I21	I51.9	myocardial infarction	heart disease	2	0.073	1	0.9089253187613844	1	0.7963850637522769
I21	I50.9	myocardial infarction	congestive heart failure	19	0.086	1	0.8914185639229422	1	0.7954837127845884
I21	I51.7	myocardial infarction	cardiomegaly	4	0.089	1	0.8818061088977424	1	0.7941612217795486
I21	I51.4	myocardial infarction	myocarditis	6	0.013	1	0.8974358974358975	1	0.7820871794871795
I21	J81	myocardial infarction	pulmonary edema	3	0.04	1	0.7815533980582524	1	0.7643106796116506
I21	I67.9	myocardial infarction	cerebrovascular disorders	2	0.031	1	0.7446236559139785	1	0.7551247311827958
I21	I25.3	myocardial infarction	ventricular aneurysm	5	0.033	1	0.7380952380952381	1	0.7542190476190476
I21	I25.5	myocardial infarction	ischemic cardiomyopathy	1	0.072	1	0.9277456647398844	1	0.6000000000000001
I21	N17.9	myocardial infarction	acute kidney injury	1	0.079	1	0.8435635123614663	1	0.5858000000000001
I21	J96.0	myocardial infarction	acute respiratory failure	1	0.021	1	0.8333333333333334	1	0.5723445378151262
I21	I44.3	myocardial infarction	atrioventricular block	1	0.014	1	0.8	1	0.56395618754804
I21	I72	myocardial infarction	aneurysms	1	0.02	1	0.7746478873239436	1	0.5599703703703705
I21	I70	myocardial infarction	atheroma	1	0.057	1	0.7025089605734767	1	0.5534064516129032
I21	F43.1	myocardial infarction	posttraumatic stress disorder	4	0.003	0	0.6538461538461539	1	0.5338769230769231
I21	Q21.0	myocardial infarction	ventricular septal defect	7	0.008	1	0.6111111111111112	0	0.5270444444444444
I21	I49.01	myocardial infarction	ventricular fibrillation	5	NA	0	0	1	0.4006
I21	I50.81	myocardial infarction	right heart failure	6	NA	0	0	1	0.4
I21	J81.0	myocardial infarction	acute pulmonary edema	2	NA	0	0	1	0.4
I21	I50.2	myocardial infarction	heart failure with reduced ejection fraction	2	NA	0	0	1	0.4
I21	Q23.3	myocardial infarction	mitral regurgitation	9	0.002	0	0.75	0	0.35797916102841676
I21	I49.02	myocardial infarction	ventricular flutter	1	NA	0	0	1	0.2
I21	P91.6	myocardial infarction	hypoxic-ischemic encephalopathy	1	NA	0	0	1	0.2
I21	I27.20	myocardial infarction	pulmonary hypertension	1	NA	0	0	0	0.0
M31.0	N08	goodpasture 's syndrome	kidney disease	3	0.128	1	1.0	1	0.8256000000000001
M31.0	N17.9	goodpasture 's syndrome	acute kidney injury	2	0.024	1	0.7619047619047619	1	0.7571809523809525
M31.0	N19	goodpasture 's syndrome	renal failure	4	0.017	1	0.3333333333333333	1	0.6764000000000001
M31.0	N18.6	goodpasture 's syndrome	end-stage renal disease	2	NA	0	0	1	0.4
M31.0	I67.83	goodpasture 's syndrome	posterior reversible encephalopathy syndrome	2	NA	0	0	1	0.4
M31.0	N01	goodpasture 's syndrome	rapidly progressive glomerulonephritis	2	0.0	0	0.6666666666666666	0	0.33798536585365857
M31.0	E04.9	goodpasture 's syndrome	goiter	1	0.0	0	0	1	0.2
M31.0	G93.2	goodpasture 's syndrome	benign intracranial hypertension	1	0.0	0	0	1	0.2
M31.0	J96.0	goodpasture 's syndrome	acute respiratory failure	1	0.0	0	0	1	0.2
M31.0	E85	goodpasture 's syndrome	amyloidosis	1	0.0	0	0	0	0.0
N08	E21.3	kidney disease	hyperparathyroidism	2	0.026	1	0.8611111111111112	1	0.7774222222222222
N08	N18.9	kidney disease	chronic renal disease	6	0.183	1	0.5979020979020979	1	0.7561804195804196
N08	N19	kidney disease	renal failure	18	0.085	1	0.5131578947368421	1	0.7202020618556702
N08	I15	kidney disease	secondary hypertension	2	0.074	1	0.7631578947368421	0	0.5680666666666667
N08	N18	kidney disease	chronic kidney disease	1	0.161	1	0.6472222222222223	1	0.5628000000000001
N08	N04	kidney disease	nephrotic syndrome	11	0.075	1	0.7049180327868853	0	0.5573551867219917
N08	R80	kidney disease	proteinuria	1	0.08	1	0.671875	1	0.5512000000000001
N08	D64.9	kidney disease	anemia	3	0.066	1	0.5939675174013921	0	0.5342675324675326
N08	N28.9	kidney disease	renal insufficiency	1	0.043	1	0.5636363636363636	1	0.5253379310344828
N08	N18.6	kidney disease	end-stage renal disease	11	NA	0	0	1	0.4
N08	H35.03	kidney disease	hypertensive retinopathy	1	NA	0	0	0	0.0
